Symbol,Open,High,Low,Close,Beta,52Low,52High,Market Cap,Volume,Shares,Sector,Industry
MOH,296.03,296.03,291.24,295.82,0.6496,249.78,374,"16,986 M","375,896","58,300,000",Health Care,Health Care Providers & Services
MRK,118,118,116.49,118.22,0.3423,83.05,118.39,"297,849 M","6,490,177","2,537,693,776",Health Care,Pharmaceuticals
MRNA,133.93,138.22,129.75,130.14,1.295,115.03,217.25,"51,808 M","5,504,814","385,677,955",Health Care,Biotechnology
MTD,1485.03,1496.86,1473.04,1492.1,1.145,1065.55,1615.97,"32,558 M","144,068","22,070,068",Health Care,Life Sciences Tools & Services
OGN,23.55,23.75,21.6,24.24,0.8157,20.96,39.09,"5,614 M","3,701,055","255,061,586",Health Care,Pharmaceuticals
PFE,38.17,38.43,38.02,38.45,0.5977,38.4,54.93,"215,786 M","23,675,132","5,644,402,367",Health Care,Pharmaceuticals
PKI,130.39,131.74,129.27,130.23,1.1,113.46,170,"16,576 M","623,952","126,411,985",Health Care,Life Sciences Tools & Services
PODD,320.99,324.09,315.65,320.99,0.7735,181,328.8671,"22,457 M","720,783","69,693,976",Health Care,Health Care Equipment & Supplies
REGN,775.54,776.5799,746.13,803.17,0.2507,538.01,835,"82,708 M","1,229,124","109,710,254",Health Care,Biotechnology
RMD,235.88,235.88,231.13,236.8,0.4865,189.4,247.65,"34,101 M","458,788","146,930,660",Health Care,Health Care Equipment & Supplies
STE,190.48,190.48,186.765,187.68,0.852,159.21,236.1,"18,753 M","476,879","99,284,443",Health Care,Health Care Equipment & Supplies
SYK,284.54,286.61,281.915,287.14,0.9437,188.84,305.44,"108,048 M","1,258,051","379,608,166",Health Care,Health Care Equipment & Supplies
TECH,85.83,85.95,83.09,85.98,1.245,68.0025,99.335,"13,216 M","1,571,245","157,275,200",Health Care,Life Sciences Tools & Services
TFX,261,261,244.47,272.12,1.005,182.65,293.81,"11,690 M","888,023","46,965,758",Health Care,Health Care Equipment & Supplies
TMO,552.6,553.9021,542.72,550.42,0.7785,475.77,611.06,"210,452 M","1,243,493","385,698,254",Health Care,Life Sciences Tools & Services
UHS,141.84,142.06,139.07,142.55,1.267,82.5,154.65,"9,882 M","438,748","70,042,765",Health Care,Health Care Providers & Services
UNH,487.05,489.69,481.95,489.44,0.6471,449.7009,558.1,"453,951 M","2,555,690","931,602,553",Health Care,Health Care Providers & Services
VRTX,347.97,349.13,345.01,346.36,0.4777,233.01,354.46,"89,265 M","927,893","257,551,600",Health Care,Biotechnology
WAT,297.56,298.29,294.22,296.5,0.8473,265.605,369,"17,470 M","730,267","59,020,233",Health Care,Life Sciences Tools & Services
WST,368.5,371.045,365.07,368.43,1.093,206.19,372.06,"27,408 M","258,725","74,242,584",Health Care,Life Sciences Tools & Services
XRAY,40.48,41.09,39.35,40.48,0.9534,26.48,42.575,"8,680 M","2,571,081","212,477,811",Health Care,Health Care Equipment & Supplies
ZTS,168,182.755,167.53,177.73,0.7688,124.1483,183.805,"82,553 M","3,592,231","462,558,895",Health Care,Pharmaceuticals
ADP,216.54,216.67,213.11,215.98,0.8157,196.61,274.92,"88,330 M","1,241,484","413,122,759",Industrials,Professional Services
ALLE,108.72,109.45,106.97,108.96,1.106,87.33,123.46,"9,413 M","527,734","87,946,675",Industrials,Building Products
AME,144.5,144.795,142.4,144.58,1.197,106.17,148.06,"32,940 M","1,463,039","230,475,184",Industrials,Electrical Equipment
BA,200.65,201.25,193.27,200.93,1.511,113.02,221.33,"118,544 M","6,934,072","601,593,507",Industrials,Aerospace & Defense
CARR,40.65,41.11,40.28,41.09,0.9839,33.1,49.17,"34,312 M","7,327,745","834,838,102",Industrials,Building Products
